ID,PROPERTY_ID,NUM_REVIEWS,LAST_REVIEW_DATE,AVG_REVIEWS_PER_MONTH
1,2539,9,2018-10-19 00:00:00.0000000,0.20999999999999999
2,2595,45,2019-05-21 00:00:00.0000000,0.38
3,3647,0,,
4,3831,270,2019-07-05 00:00:00.0000000,4.6399999999999997
5,5022,9,2018-11-19 00:00:00.0000000,0.10000000000000001
6,5099,74,2019-06-22 00:00:00.0000000,0.58999999999999997
7,5121,49,2017-10-05 00:00:00.0000000,0.40000000000000002
8,5178,430,2019-06-24 00:00:00.0000000,3.4700000000000002
9,5203,118,2017-07-21 00:00:00.0000000,0.98999999999999999
10,5238,160,2019-06-09 00:00:00.0000000,1.3300000000000001
11,5295,53,2019-06-22 00:00:00.0000000,0.42999999999999999
12,5441,188,2019-06-23 00:00:00.0000000,1.5
13,5803,167,2019-06-24 00:00:00.0000000,1.3400000000000001
14,6021,113,2019-07-05 00:00:00.0000000,0.91000000000000003
15,6090,27,2018-10-31 00:00:00.0000000,0.22
16,6848,148,2019-06-29 00:00:00.0000000,1.2
17,7097,198,2019-06-28 00:00:00.0000000,1.72
18,7322,260,2019-07-01 00:00:00.0000000,2.1200000000000001
19,7726,53,2019-06-22 00:00:00.0000000,4.4400000000000004
20,7750,0,,
21,7801,9,2011-12-28 00:00:00.0000000,7.0000000000000007E-2
22,8024,130,2019-07-01 00:00:00.0000000,1.0900000000000001
23,8025,39,2019-01-01 00:00:00.0000000,0.37
24,8110,71,2019-07-02 00:00:00.0000000,0.60999999999999999
25,8490,88,2019-06-19 00:00:00.0000000,0.72999999999999998
26,8505,19,2019-06-23 00:00:00.0000000,1.3700000000000001
27,8700,0,,
28,9357,58,2017-08-13 00:00:00.0000000,0.48999999999999999
29,9518,108,2019-06-15 00:00:00.0000000,1.1100000000000001
30,9657,29,2019-04-19 00:00:00.0000000,0.23999999999999999
31,9668,242,2019-06-01 00:00:00.0000000,2.04
32,9704,88,2019-06-14 00:00:00.0000000,1.4199999999999999
33,9782,197,2019-06-15 00:00:00.0000000,1.6499999999999999
34,9783,273,2019-07-01 00:00:00.0000000,2.3700000000000001
35,10452,74,2019-05-12 00:00:00.0000000,0.66000000000000003
36,10962,168,2019-06-21 00:00:00.0000000,1.4099999999999999
37,11452,0,,
38,11708,231,2019-06-22 00:00:00.0000000,1.96
39,11943,0,,
